V1,V2,V3,V4,V5,V6
0.006694037,0.010064642,0.012456228,-0.004958418,0.002769794,-0.005303608
0.009766899,0.008283303,0.00854133,0.004754485,0.011877677,0.004620498
-0.020522634,-0.017285239,-0.017877443,-0.002816701,-0.017839921,-0.002690327
0.014493469,0.014856186,0.013037731,0.004892017,0.010678273,0.00410946
0.016060951,0.018608718,0.008250855,-0.000549953,0.00708429,0.000292804
0.003320553,0.001356348,0.001506461,0.000238244,0.000323874,0.000307359
-0.005362864,-0.005473931,-0.003911084,-0.001926896,-0.006304194,-0.002532429
-0.011771152,-0.004865839,-0.00533876,-0.001115998,-0.002603154,-0.001091363
0.000973983,0.000976068,0.001878644,0.00493204,0.000314303,0.004731793
0.015610158,0.016664197,0.016993138,0.008799763,0.017307681,0.008666741
0.004899901,0.004303342,0.005237344,0.001355379,0.004824171,0.001490237
-0.007858067,-0.007579133,-0.007235325,-0.002773817,-0.007727778,-0.003204935
-0.003926309,-0.005081129,-0.003668162,-0.003381134,-0.006514178,-0.002923543
0,0,0,0,0,0
-0.021378594,-0.022107317,-0.023451676,-0.003288049,-0.017831718,-0.003291724
0.009543455,0.010170893,0.007764933,0.001636167,0.008315749,0.002053504
0.012839422,0.010998632,0.012263441,0.000630321,0.011564177,0.000902873
-0.012246139,-0.01175529,-0.013428435,-0.004785617,-0.013515592,-0.005823148
-0.015184118,-0.009043586,-0.00773367,-0.000192243,-0.005127102,-0.00159147
0.027304568,0.031847484,0.030566267,0.003293253,0.021233993,0.003346818
-0.003795322,-0.005705941,-0.006252732,-0.002338851,-0.002740158,-0.001060148
-0.01228157,-0.008334164,-0.009252239,-0.003769112,-0.014677245,-0.003793087
-0.003069774,-0.00311067,-0.005955375,0.008102836,0.000821735,0.008031612
0.003648382,0.007204608,0.003889327,-0.00187655,0.002366848,-0.001772778
0.009834567,0.009910282,0.010360792,0.000511885,0.007625607,0.000542033
0.006443964,0.006242487,0.008284206,-0.000614818,0.000445769,-0.000320055
0.027153062,0.023722211,0.026800355,0.002939203,0.02009124,0.003207579
0.007248414,0.007825735,0.0077042,-0.002022304,0.006761392,-0.002411738
-0.002689602,-0.004483971,-0.001611084,0.000900695,-0.000225083,0.001028363
0.009040474,0.006688247,0.006697777,-0.00056642,0.005131018,-0.000610517
-0.008686597,-0.004881479,-0.006893976,-0.000553308,-0.005396028,-0.000295788
